날짜,Actual Conductivity (µS/cm) (1066342),Specific Conductivity (µS/cm) (1066342),염도 (PSU) (1066342),저항력 (Ω⋅cm) (1066342),밀도 (g/cm³) (1066342),총 용존 고형물 (TDS) (ppt) (1066342),pH (pH) (1057024),pH mV (mV) (1057024),ORP (mV) (1057024),온도 (°C) (1068851),압력 (psi) (1064654),깊이 (m) (1064654),표면 고도 (m) (1064654),Chlorophyll-a Fluorescence (RFU) (945787),Chlorophyll-a 농도 (µg/L) (945787),RDO 농도 (mg/L) (954526),RDO 포화 (%Sat) (954526),산소분압 (Torr) (954526),외부 전압 (V) (1068851),대기압 (mbar) (1049665),온도 (°C) (1049665),위도 (°),경도 (°),표시됨
2025-05-13,0.05494505500000001,0.06334747095,0.0,18200000.0,0.9985869411666667,4.117775703888889e-05,8.389158591666668,-41.78632401666667,186.92743277777777,18.054648366666665,4.168375932222222,3.1288958583333333,2.727839842777778,0.02430876427222222,0.24506879955555555,5.26400191,56.47617920555555,77.9238895,17.253963916666667,999.1221778333332,28.856867966666666,36.69135651732559,128.80671633773252,
2025-05-14,0.05494505500000001,0.06040153961340206,0.0,18200000.0,0.9981470256701032,3.9266159670103094e-05,7.959694997422681,-17.39943006536083,185.24633680412373,20.272855597938143,4.323918593298969,3.2397317479381442,2.839844736494845,0.02011937287886598,0.20260267835051549,4.957334275773196,55.54520769072165,76.5068930927835,17.266242819587628,1000.4760522164948,34.05170699484536,36.69123524814345,128.80670118318469,
2025-05-21,0.1628531215597826,0.16516920120652176,0.0,6523664.804347826,0.9972958527173914,0.00010708961147282607,7.59817614347826,4.275721608836958,108.5776744673913,23.980870989130434,4.222347598913044,3.1644096232608696,2.7528295270652174,0.02640955723369565,0.2632894495108696,0.0,0.0,-0.3259875038043478,17.255545097826086,991.1705311413044,35.12849241304348,36.691189520921476,128.80676146875055,
2025-06-05,1.17696061928934,1.182076878680203,0.0,852160.0289847716,0.9971103699492385,0.000768090822994924,7.904898176142132,-14.012502754822336,-18.474009944162436,24.740280050761424,3.278323692741117,2.4935523207106605,2.0928714018781727,0.03777930863451777,0.3779958855329949,0.0,0.0,-0.4305045269543147,17.26186257360406,994.1661451269035,40.97436013705583,36.6912744341768,128.80747413929305,
2025-06-11,0.6991062075510205,0.6857448545918368,0.0,1436417.3193877551,0.996792896887755,0.0004456506973979592,6.64019874489796,61.01410034183673,-265.7755823469388,25.967892346938783,4.152996287755102,3.1006931163265303,2.68176265872449,0.04780278712244899,0.47699695882653054,0.0,0.0,-0.27409657474489796,17.268283403061226,994.8326116836733,30.276512112244898,36.69125402054027,128.80754365851837,
2025-06-12,0.6563616666666667,0.6528016212222223,0.0,1524953.403888889,0.9969813106666666,0.0004244712548888889,7.046655269444444,36.37549302222222,-173.7758853888889,25.25038954444444,4.108498117222221,3.0884307427777773,2.6736715677222223,0.046060976399999995,0.4666494695555556,0.0,0.0,-0.30185757127777774,17.269610466666666,998.3742517777777,32.034335005555555,36.69130777847022,128.806638488546,
2025-06-18,0.16752996861878455,0.16092429933701655,0.0,6019292.696132597,0.996501181436464,0.00010469124104972378,6.999683177900552,39.464812408839784,-202.60651220994475,27.047060127071827,4.268642647513812,3.202263527071823,2.776613384861878,0.04808064397790055,0.4820275773480663,0.0,0.0,-0.25869628386740334,17.25832064640884,994.5090860773479,35.99942066850829,36.69135391151337,128.8067516090235,
2025-06-19,0.05494505500000002,0.05263020038121548,0.0,18200000.0,0.9964312056906078,3.421315982320442e-05,7.089226583425416,34.3376059116022,-144.2071833149171,27.299668928176796,4.338268149171271,3.2515208486187843,2.8281703396685085,0.2088474954033149,2.0765349006629834,0.0,0.0,-0.26894090569060775,17.25558740883978,997.5721306077347,37.25599123756906,36.69128446212007,128.80666885741095,
2025-06-24,0.05494505500000001,0.05350546957837838,0.0,18200000.0,0.9966763130270271,3.478176481081081e-05,7.403146516216217,15.475774983243241,-280.33116940540543,26.40792586486487,4.277790556756757,3.209161877297297,2.781174098216216,0.35719919202162154,3.5428244286486485,0.0,0.0,-0.2719862362162162,17.251853691891892,993.323639891892,32.080339351351356,36.69135099407789,128.8068004798245,
2025-06-26,0.05494505500000002,0.054625056303867395,0.0,18200000.0,0.9969688716022099,3.550763527071823e-05,7.121299566850828,32.03624961878454,-281.1711379558011,25.305353149171275,4.1648780226519335,3.1466920359116024,2.7284135189502767,0.4851786066298342,4.866765293370166,0.0,0.0,-0.31706306160220993,17.25277529834254,992.4236429834255,28.446691138121547,36.69109626686026,128.8073668698909,
2025-07-02,0.05494505500000001,0.05059956131111111,0.0,18200000.0,0.9957977964444444,3.289363515e-05,6.846041325555555,49.09163611666667,-114.36601241111113,29.494837605555556,4.241959363888888,3.1821940266666666,2.753055024,0.5300638999666668,5.320215897222221,0.0,0.0,-0.26582541372222224,17.265491883333333,997.2593476666666,38.21197058888889,36.691217850893736,128.80720528913662,
2025-07-08,0.05625648318750001,0.049536685850961534,0.0,17877020.903846152,0.9950074313942309,3.214223358653846e-05,3.874725586057693,229.53766528846154,-246.749781875,32.05925338942308,3.953740270673077,2.985445708653846,2.5463854553365386,0.8939834774519231,8.924011207692306,0.0,0.0,-0.2486809249519231,17.252059985576924,993.2280360576923,40.543306692307695,36.69131891092159,128.80670179382363,
2025-07-18,0.5118249907916667,0.50018837625,0.0,2058066.6020833335,0.9967418959166667,0.00032486660162499997,6.141889904999999,89.85889352083333,-284.91997358333333,26.166568175,3.03659908275,2.331164325333334,1.9122009758479166,1.8088205366666665,18.072204008333333,0.0,0.0,-0.225158898,17.2529742375,992.8200924583332,37.90052216666667,36.69144359591883,128.80627405887935,
2025-07-22,0.44053736562500007,0.4192192779166667,0.0,2269956.6516666664,0.9963294228749999,0.00027247421737500003,6.276565749583333,82.95156946666665,106.00048588333333,27.665214458333335,3.374827328458333,2.573042809416667,2.148091186235833,1.2807387624583335,12.980622247916669,5.676684927916667,73.1945003875,99.24523145416667,17.246136745833333,998.53901725,43.93671944166667,36.69136663712561,128.80737198481802,
2025-07-23,0.3193883677906976,0.30031839484496126,0.0,3141494.829844961,0.9961466280620154,0.00019545778705426357,7.05726595620155,36.38520725581396,-5.1952523988372095,28.312157883720932,3.414485457841085,2.5944844668992246,2.166018843251163,0.5992489338410854,5.875057660620155,4.486609162790698,58.538941155038756,79.23237570155038,17.259791937984495,998.238392635659,40.275404523255816,36.69120194780272,128.80684009168382,
2025-07-25,0.44053736562500007,0.4192192779166667,0.0,2269956.6516666664,0.9963294228749999,0.00027247421737500003,6.276565749583333,82.95156946666665,106.00048588333333,27.665214458333335,3.374827328458333,2.573042809416667,2.148091186235833,1.2807387624583335,12.980622247916669,5.676684927916667,73.1945003875,99.24523145416667,17.246136745833333,998.53901725,43.93671944166667,36.69136663712561,128.80737198481802,
2025-07-29,0.05494505500000001,0.04862634190038314,0.0,18200000.0,0.9950894103065133,3.160975076628352e-05,9.226058084291187,-94.43892416475097,-53.66452913026821,31.8070074789272,3.4492438729118775,2.6277183096934866,2.1898412018823756,2.230891413793104,22.301244118773948,7.123325251724138,99.89719614942528,132.4292156321839,17.25546042145594,987.0824278927204,36.57204519923372,36.6911679872408,128.80683024767143,
2025-07-30,196.0776467083333,176.38591941666667,0.08360379763749999,5138.4884437499995,0.9954502206249999,0.11446122350833333,9.444970995833332,-107.33439079166668,32.43132659291667,30.844850541666666,3.193843793791667,2.4472461776666665,2.0146069765433334,1.8476552224999998,18.453062025,8.665539986666666,120.62855925000001,159.98488805416667,17.247716549999996,986.0335298333334,45.6903614875,36.69130460807355,128.80755390040576,
2025-07-31,0.05494505500000002,0.04887865404979253,0.0,18200000.0,0.9951878271369294,3.17721073526971e-05,10.233532242738589,-155.2544835684647,-48.368740838174276,31.498849941908713,3.3184402186721993,2.535157832406639,2.09838532553527,1.783460492946058,17.918014116182572,7.737723789211619,107.77906000414937,143.22861502074693,17.24571398340249,988.5332638174274,39.99101765145229,36.69127295705726,128.8074261065248,
