날짜,Actual Conductivity (µS/cm) (1066342),Specific Conductivity (µS/cm) (1066342),염도 (PSU) (1066342),저항력 (Ω⋅cm) (1066342),밀도 (g/cm³) (1066342),총 용존 고형물 (TDS) (ppt) (1066342),pH (pH) (1057024),pH mV (mV) (1057024),ORP (mV) (1057024),온도 (°C) (1068851),압력 (psi) (1064654),깊이 (m) (1064654),표면 고도 (m) (1064654),RDO 농도 (mg/L) (954526),RDO 포화 (%Sat) (954526),산소분압 (Torr) (954526),Chlorophyll-a Fluorescence (RFU) (945787),Chlorophyll-a 농도 (µg/L) (945787),외부 전압 (V) (1068851),대기압 (mbar) (1049665),온도 (°C) (1049665),위도 (°),경도 (°),표시됨
2025-04-02,0.6885617818421054,0.8456365190526314,0.0,1453973.1157894738,0.999049364368421,0.000549750083,8.235413457894737,-59.660017052631574,174.42548652631578,15.289041302631578,4.265168503684211,3.185793295263158,2.789166581526316,4.06030285631579,41.00924869473685,54.970139678947376,4.782423198421053,47.82423421052631,17.266058368421053,1001.6546924210527,25.17183897368421,36.69191475963158,128.8098066436316,
2025-04-03,0.6847221212087912,0.8282357140109892,0.0,1467823.4032967032,0.998950466813187,0.000539842839010989,7.962581838461539,-44.556222989011,145.56788769230772,15.92883667857143,3.8487876731318686,2.896842244175824,2.490854170054945,3.997258163736264,40.83153064835165,54.81744094505494,4.626204166483517,46.230935780219774,17.270880708791214,1003.934651978022,20.46962729120879,36.692111723522736,128.8104319576705,
2025-04-09,1.861229478888889,2.1926057844444444,0.0001553993236111111,537655.0096666665,0.9987533782222221,0.0014259269638888887,8.244244969444445,-60.50958390555555,159.6694966111111,17.11593581388889,3.838545095333333,2.8985745117222224,2.4974919535,3.7008325433333336,39.10624180000001,51.97845480555555,4.503675966111111,45.09104661666667,17.255792888888887,995.5148901666666,24.413599400000003,36.69197507966102,128.8102198678814,
2025-04-10,0.0585644961897436,0.06744422843076923,0.0,17259474.856410258,0.9985788796923077,4.379779850256409e-05,8.079099074871793,-51.49040861538462,104.82782282051282,18.039564502564104,3.681835038717949,2.783894369435897,2.3815869789697435,3.62036992,39.23215170256411,51.737079882051276,4.486957535897436,44.86709742564103,17.26818142051282,989.1016927179486,23.052718399999996,36.69213991823835,128.81048740181345,
2025-05-13,0.05494505500000001,0.06314159681666666,0.0,18200000.0,0.9985587256666668,4.104365537777778e-05,8.371766302777779,-41.5123265,188.32046583333334,18.204439049999998,3.8900989927222227,2.9426668976666663,2.539871332704167,5.249349197222222,56.47738828333333,77.92752336666666,0.024218409400000005,0.24301726722222222,17.25904931666667,999.3035796666667,21.593597544444446,36.69178590777778,128.8097261936667,
2025-05-14,0.05494505500000001,0.05903126176666667,0.0,18200000.0,0.9979001263333335,3.837384275e-05,7.617767151111111,2.327035098166667,181.31864605555555,21.39900557777778,4.210880839444444,3.1577845722222224,2.7485947010555556,4.9170244044444456,56.30368742222221,77.41967822777778,0.020154281027777776,0.20206982744444446,17.265411633333333,1000.5870894444444,40.10917277777777,36.691763754309726,128.80931208061065,
2025-05-20,0.05494505500000001,0.060419639828877006,0.0,18200000.0,0.9981520235828878,3.9274107208556144e-05,8.192967740641711,-30.177855866310157,149.01601919786094,20.257182641711232,4.137565797860962,3.1009640203208555,2.6959834774331553,0.0,0.0,-0.4018729263636363,0.025648113572192516,0.256646240855615,17.25810362566845,992.6975122459893,27.281121149732627,36.692042427769465,128.81015069832625,
2025-05-21,0.14605231185185186,0.1522094555026455,0.0,6926323.944444444,0.9975818073544974,9.894535378306877e-05,7.857731474603175,-11.864785264973545,109.17744485185186,22.820494105820107,4.243920775132275,3.182862777777778,2.7712442871428573,0.0,0.0,-0.30576387402116406,0.025507003857142857,0.2556306192592593,17.257514502645503,991.1110698412699,31.100648047619046,36.69185777717733,128.81002469077944,
2025-05-29,0.05494505500000001,0.059980547177777774,0.0,18200000.0,0.9980791528333331,3.898585471666667e-05,8.089840418888889,-24.19505043166666,-63.295069444444444,20.606836677777782,4.334994036666666,3.245134858888889,2.8347566481666666,0.0,0.0,-0.3989052214444444,0.040704367561111114,0.40876668055555554,17.258414072222223,1000.4123491666667,24.041913488888884,36.6918454281504,128.80951483557322,
2025-06-05,0.789443754516129,0.8041581617741935,0.0,1269316.9887096775,0.997272894408602,0.0005228506491397849,8.019528395698924,-20.824775866666666,-0.8798250780645162,24.09488919892473,4.1280802392473115,3.1030880059139783,2.6882081,0.0,0.0,-0.28844060349462364,0.036865004268817204,0.368444229516129,17.261650096774193,994.2005722580645,35.11401141935484,36.69200565252039,128.81010140344085,
